frac_failed,mean,std
0.01,0.009520299999999999,0.0005431857969424459
0.02,0.0192361,0.0010563100349802609
0.05,0.0503479,0.0028850427189211613
0.1,0.09988769999999998,0.003358352305819031
0.15,0.1503847,0.0042177546882197865
0.2,0.19880540000000002,0.005446345016614347
